plot_ID	treatment	species_1	species_2	species_3	Be	Cb	Dc	Fr	Hl	Lp	Pg	Pm	Pt	Ra	Sp	To	grasses	herbs	legumes	total cover	bare ground	date
19	C	Cb	Ra	To	0	50	0	0	0	0	0	0	0	50	0	5	0	5	0	110	7	August
19	N	Cb	Ra	To	0	65	0	0	0	0	0	0	0	60	0	0	0	5	0	130	0	August
20	C	Dc	Pg	Pt	0	20	0	0	0	0	45	0	3	0	0	0	2	3	0	73	40	August
20	N	Dc	Pg	Pt	0	25	0	0	0	0	65	0	10	0	0	0	2	0	0	102	20	August
21	C	Cb	Pt	Ra	0	35	0	0	0	0	0	0	3	65	0	0	0	5	0	108	10	August
21	N	Cb	Pt	Ra	0	50	0	0	0	0	0	0	1	50	0	0	0	10	0	111	0	August
22	C	Cb	Pm	To	0	45	0	0	0	0	0	60	0	0	0	7	0	7	0	119	5	August
22	N	Cb	Pm	To	0	80	0	0	0	0	0	15	0	0	0	15	0	3	0	113	2	August
23	C	Lp	Ra	To	0	0	0	0	0	65	0	0	0	35	0	4	0	3	0	107	5	August
23	N	Lp	Ra	To	0	0	0	0	0	60	0	0	0	55	0	4	0	0	0	119	0	August
24	C	Be	Pg	Pt	25	0	0	0	0	0	80	0	3	0	0	0	1	0	0	109	7	August
24	N	Be	Pg	Pt	35	0	0	0	0	0	80	0	0	0	0	0	0	0	0	115	0	August
25	C	Be	Pm	Ra	45	0	0	0	0	0	0	10	0	45	0	0	0	2	0	102	10	August
25	N	Be	Pm	Ra	60	0	0	0	0	0	0	15	0	70	0	0	0	0	0	145	0	August
26	C	Fr	Hl	To	0	0	0	45	55	0	0	0	0	0	0	12	0	0	0	112	3	August
26	N	Fr	Hl	To	0	0	0	15	75	0	0	0	0	0	0	20	0	3	0	113	0	August
27	C	Hl	Pg	Sp	0	0	0	0	70	0	30	0	0	0	7	0	0	2	0	109	3	August
27	N	Hl	Pg	Sp	0	0	0	0	80	0	30	0	0	0	8	0	0	7	0	125	0	August
28	C	Dc	Fr	Hl	0	0	20	15	90	0	0	0	0	0	0	0	0	0	0	125	0	August
28	N	Dc	Fr	Hl	0	0	15	30	80	0	0	0	0	0	0	0	0	0	0	125	0	August
29	C	Hl	Lp	Ra	0	0	0	0	45	25	0	0	0	40	0	0	0	1	0	111	2	August
29	N	Hl	Lp	Ra	0	0	0	0	15	10	0	0	0	75	0	0	0	0	0	100	0	August
30	C	Fr	Pm	Ra	0	0	0	15	0	0	0	40	0	45	0	0	0	1	0	101	10	August
30	N	Fr	Pm	Ra	0	0	0	10	0	0	0	15	0	90	0	0	0	0	0	115	3	August
31	C	Pg	Pt	Ra	0	0	0	0	0	0	50	0	0	50	0	0	0	3	0	103	0	August
31	N	Pg	Pt	Ra	0	0	0	0	0	0	3	0	0	100	0	0	0	0	0	103	0	August
32	C	Be	Pt	Sp	20	0	0	0	0	0	0	0	1	0	70	0	0	1	0	92	10	August
32	N	Be	Pt	Sp	25	0	0	0	0	0	0	0	0	0	75	0	0	0	0	100	5	August
33	C	Be	Ra	Sp	25	0	0	0	0	0	0	0	0	40	30	0	0	0	0	95	10	August
33	N	Be	Ra	Sp	50	0	0	0	0	0	0	0	0	60	15	0	0	0	0	125	0	August
34	C	Fr	Pt	Sp	0	0	0	40	0	0	0	0	0	0	70	0	0	0	0	110	7	August
34	N	Fr	Pt	Sp	0	0	0	60	0	0	0	0	2	0	60	0	0	0	0	122	5	August
35	C	Hl	Pt	Ra	0	0	0	0	40	0	0	0	15	45	0	0	0	7	0	107	5	August
35	N	Hl	Pt	Ra	0	0	0	0	30	0	0	0	15	75	0	0	0	10	0	130	0	August
36	C	Dc	Fr	To	0	0	10	65	0	0	0	0	0	0	0	4	0	1	0	80	30	August
36	N	Dc	Fr	To	0	0	12	85	0	0	0	0	0	0	0	10	0	5	0	112	5	August
37	C	Cb	Lp	Pg	0	60	0	0	0	15	30	0	0	0	0	0	5	3	0	113	20	August
37	N	Cb	Lp	Pg	0	75	0	0	0	15	20	0	0	0	0	0	0	2	0	112	20	August
38	C	Hl	Pg	Pm	0	0	0	0	20	0	75	1	0	0	0	0	0	2	0	98	5	August
38	N	Hl	Pg	Pm	0	0	0	0	55	0	55	10	0	0	0	0	3	0	0	123	0	August
39	C	Be	Fr	To	20	0	0	50	0	0	0	0	0	0	0	30	0	0	0	100	20	August
39	N	Be	Fr	To	15	0	0	55	0	0	0	0	0	0	0	55	0	0	0	125	5	August
40	C	Cb	Pm	Ra	0	40	0	0	0	0	0	2	0	45	0	0	0	3	0	90	2	August
40	N	Cb	Pm	Ra	0	60	0	0	0	0	0	0	0	55	0	0	0	0	0	115	0	August
41	C	Cb	Fr	Pt	0	45	0	35	0	0	0	0	1	0	0	0	0	1	0	82	45	August
41	N	Cb	Fr	Pt	0	60	0	55	0	0	0	0	0	0	0	0	0	2	0	117	15	August
42	C	Be	Hl	Pt	10	0	0	85	0	0	0	0	4	0	0	0	0	1	0	100	5	August
42	N	Be	Hl	Pt	8	0	0	95	0	0	0	0	4	0	0	0	0	2	0	109	2	August
43	C	Cb	Dc	Lp	0	60	30	0	0	15	0	0	0	0	0	0	0	0	5	110	10	August
43	N	Cb	Dc	Lp	0	70	10	0	0	35	0	0	0	0	0	0	2	2	0	119	0	August
44	C	Cb	Lp	Ra	0	30	0	0	0	70	0	0	0	5	0	0	1	0	0	106	3	August
44	N	Cb	Lp	Ra	0	45	0	0	0	65	0	0	0	10	0	0	0	7	0	127	0	August
45	C	Fr	Hl	Sp	0	0	0	10	75	0	0	0	0	0	15	0	0	0	0	100	5	August
45	N	Fr	Hl	Sp	0	0	0	45	70	0	0	0	0	0	15	0	0	0	0	130	0	August
46	C	Be	Dc	Lp	30	0	30	0	0	40	0	0	0	0	0	0	5	0	7	112	3	August
46	N	Be	Dc	Lp	45	0	50	0	0	40	0	0	0	0	0	0	0	0	0	135	0	August
47	C	Fr	Lp	Pt	0	0	0	45	0	45	0	0	3	0	0	0	0	2	0	95	7	August
47	N	Fr	Lp	Pt	0	0	0	50	0	50	0	0	4	0	0	0	0	0	0	104	3	August
48	C	Pg	Pm	Ra	0	0	0	0	0	0	45	10	0	50	0	0	0	3	0	108	0	August
48	N	Pg	Pm	Ra	0	0	0	0	0	0	5	0	0	95	0	0	0	0	0	100	0	August
49	C	Pg	x	x	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	50	50	August
49	N	Pg	x	x	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	95	5	August
50	C	Sp	x	x	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	90	10	August
50	N	Sp	x	x	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	110	0	August
51	C	Cb	x	x	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	70	30	August
51	N	Cb	x	x	0	105	0	0	0	0	0	0	0	0	0	0	0	2	0	107	0	August
52	C	Dc	x	x	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	40	60	August
52	N	Dc	x	x	0	0	15	0	0	0	0	0	0	0	0	0	0	2	0	17	85	August
53	C	Fr	x	x	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	80	20	August
53	N	Fr	x	x	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	110	5	August
54	C	Hl	x	x	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	85	15	August
54	N	Hl	x	x	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	80	30	August
55	C	Lp	x	x	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	95	5	August
55	N	Lp	x	x	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	105	0	August
56	C	Pm	x	x	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	85	15	August
56	N	Pm	x	x	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	105	0	August
57	C	Pt	x	x	0	0	0	0	0	0	0	0	15	0	0	0	0	10	0	25	75	August
57	N	Pt	x	x	0	0	0	0	0	0	0	0	25	0	0	0	0	15	0	40	60	August
58	C	Be	x	x	80	0	0	0	0	0	0	0	0	0	0	0	0	5	0	85	15	August
58	N	Be	x	x	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	5	August
59	C	Ra	x	x	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	120	0	August
59	N	Ra	x	x	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	130	0	August
60	C	To	x	x	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	400	0	August
60	N	To	x	x	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0	August
